State,Year,Arrivals,Departures
New South Wales,2021,43.55%,47.38%
Victoria,2021,23.62%,26.64%
Queensland,2021,20.46%,17.61%
Western Australia,2021,5.79%,1.58%
South Australia,2021,3.17%,5.58%
Tasmania,2021,0.31%,0.31%
Australian Capital Territory,2021,0.05%,0.88%
Northern Territory,2021,3.03%,0.00%
